"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
345,171122065,4,50,40,2,13
347,171194569,4,50,40,3,9
349,171254988,4,50,50,0,5
351,171255550,4,50,50,0,13
353,171255947,4,50,50,1,9
355,171323128,4,50,50,2,5
357,171374430,4,50,50,2,13
359,171469837,4,50,50,3,9
361,171551752,5,50,0,0,5
363,171552209,5,50,0,0,13
365,171552888,5,50,0,1,9
367,171561005,5,50,0,2,5
369,171569527,5,50,0,2,13
371,171586037,5,50,0,3,9
373,171594986,5,50,10,0,5
375,171595752,5,50,10,0,13
377,171596259,5,50,10,1,9
379,171630250,5,50,10,2,5
381,171649864,5,50,10,2,13
383,171677474,5,50,10,3,9
385,171700787,5,50,20,0,5
387,171701501,5,50,20,0,13
389,171702052,5,50,20,1,9
391,171753249,5,50,20,2,5
393,171786729,5,50,20,2,13
395,171856988,5,50,20,3,9
397,171889883,5,50,30,0,5
399,171890602,5,50,30,0,13
401,171890996,5,50,30,1,9
403,171950487,5,50,30,2,5
405,171993345,5,50,30,2,13
407,172069646,5,50,30,3,9
409,172115573,5,50,40,0,5
411,172116166,5,50,40,0,13
413,172116722,5,50,40,1,9
415,172190926,5,50,40,2,5
417,172245838,5,50,40,2,13
419,172336591,5,50,40,3,9
421,172442300,5,50,50,0,5
423,172442858,5,50,50,0,13
425,172443335,5,50,50,1,9
427,172550209,5,50,50,2,5
429,172618603,5,50,50,2,13
431,172733636,5,50,50,3,9
2,169351465,0,50,0,0,9
4,169351926,0,50,0,1,5
6,169353035,0,50,0,1,13
8,169353774,0,50,0,2,9
10,169355079,0,50,0,3,5
12,169355877,0,50,0,3,13
14,169356478,0,50,10,0,9
16,169356567,0,50,10,1,5
18,169358250,0,50,10,1,13
20,169359862,0,50,10,2,9
22,169361896,0,50,10,3,5
24,169363917,0,50,10,3,13
26,169365155,0,50,20,0,9
28,169365265,0,50,20,1,5
30,169368066,0,50,20,1,13
32,169370313,0,50,20,2,9
34,169372994,0,50,20,3,5
36,169377094,0,50,20,3,13
38,169379559,0,50,30,0,9
40,169379634,0,50,30,1,5
42,169384903,0,50,30,1,13
44,169388245,0,50,30,2,9
46,169393807,0,50,30,3,5
48,169396556,0,50,30,3,13
50,169403184,0,50,40,0,9
52,169403303,0,50,40,1,5
54,169409512,0,50,40,1,13
56,169413124,0,50,40,2,9
58,169417225,0,50,40,3,5
60,169419561,0,50,40,3,13
62,169427144,0,50,50,0,9
64,169427242,0,50,50,1,5
66,169431753,0,50,50,1,13
68,169436497,0,50,50,2,9
70,169444221,0,50,50,3,5
72,169448380,0,50,50,3,13
74,169457689,1,50,0,0,9
76,169457961,1,50,0,1,5
78,169459940,1,50,0,1,13
80,169462428,1,50,0,2,9
82,169469259,1,50,0,3,5
84,169472534,1,50,0,3,13
86,169475375,1,50,10,0,9
88,169475712,1,50,10,1,5
90,169483266,1,50,10,1,13
92,169491280,1,50,10,2,9
94,169502287,1,50,10,3,5
96,169513699,1,50,10,3,13
98,169524050,1,50,20,0,9
100,169524410,1,50,20,1,5
102,169533397,1,50,20,1,13
104,169549252,1,50,20,2,9
106,169571623,1,50,20,3,5
108,169585575,1,50,20,3,13
110,169601612,1,50,30,0,9
112,169601874,1,50,30,1,5
114,169624508,1,50,30,1,13
116,169649278,1,50,30,2,9
118,169689001,1,50,30,3,5
120,169699301,1,50,30,3,13
122,169717831,1,50,40,0,9
124,169718023,1,50,40,1,5
126,169740581,1,50,40,1,13
128,169769878,1,50,40,2,9
130,169823361,1,50,40,3,5
132,169838729,1,50,40,3,13
134,169854777,1,50,50,0,9
136,169855122,1,50,50,1,5
138,169892450,1,50,50,1,13
140,169905133,1,50,50,2,9
142,169937016,1,50,50,3,5
144,169961636,1,50,50,3,13
146,169995818,2,50,0,0,9
148,169996049,2,50,0,1,5
150,169998733,2,50,0,1,13
152,170000839,2,50,0,2,9
154,170003241,2,50,0,3,5
156,170005415,2,50,0,3,13
158,170007288,2,50,10,0,9
160,170007449,2,50,10,1,5
162,170011194,2,50,10,1,13
164,170013002,2,50,10,2,9
166,170024521,2,50,10,3,5
168,170033974,2,50,10,3,13
170,170038934,2,50,20,0,9
172,170039317,2,50,20,1,5
174,170049065,2,50,20,1,13
176,170059658,2,50,20,2,9
178,170070534,2,50,20,3,5
180,170081995,2,50,20,3,13
182,170089630,2,50,30,0,9
184,170089821,2,50,30,1,5
186,170107170,2,50,30,1,13
188,170120069,2,50,30,2,9
190,170128723,2,50,30,3,5
192,170147901,2,50,30,3,13
194,170154056,2,50,40,0,9
196,170154393,2,50,40,1,5
198,170169214,2,50,40,1,13
200,170179069,2,50,40,2,9
202,170199401,2,50,40,3,5
204,170211180,2,50,40,3,13
206,170233743,2,50,50,0,9
208,170233843,2,50,50,1,5
210,170247725,2,50,50,1,13
212,170273090,2,50,50,2,9
214,170295921,2,50,50,3,5
216,170315228,2,50,50,3,13
218,170335019,3,50,0,0,9
220,170335340,3,50,0,1,5
222,170337639,3,50,0,1,13
224,170339571,3,50,0,2,9
226,170343473,3,50,0,3,5
228,170346705,3,50,0,3,13
