"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-424277999,0,50,0,0,5
3,-424277472,0,50,0,0,13
5,-424277251,0,50,0,1,9
7,-424276577,0,50,0,2,5
9,-424275551,0,50,0,2,13
11,-424274756,0,50,0,3,9
13,-424273872,0,50,10,0,5
15,-424273749,0,50,10,0,13
17,-424273665,0,50,10,1,9
19,-424271805,0,50,10,2,5
21,-424269946,0,50,10,2,13
23,-424269071,0,50,10,3,9
25,-424266728,0,50,20,0,5
27,-424266600,0,50,20,0,13
29,-424266517,0,50,20,1,9
31,-424264093,0,50,20,2,5
33,-424262293,0,50,20,2,13
35,-424259739,0,50,20,3,9
37,-424254077,0,50,30,0,5
39,-424253979,0,50,30,0,13
41,-424253888,0,50,30,1,9
43,-424247095,0,50,30,2,5
45,-424245146,0,50,30,2,13
47,-424243472,0,50,30,3,9
49,-424237106,0,50,40,0,5
51,-424236992,0,50,40,0,13
53,-424236888,0,50,40,1,9
55,-424233283,0,50,40,2,5
57,-424227933,0,50,40,2,13
59,-424223650,0,50,40,3,9
61,-424215718,0,50,50,0,5
63,-424215614,0,50,50,0,13
65,-424215487,0,50,50,1,9
67,-424207359,0,50,50,2,5
69,-424198679,0,50,50,2,13
71,-424192499,0,50,50,3,9
73,-424184868,1,50,0,0,5
75,-424184468,1,50,0,0,13
77,-424184116,1,50,0,1,9
79,-424182080,1,50,0,2,5
81,-424179221,1,50,0,2,13
83,-424174268,1,50,0,3,9
85,-424171906,1,50,10,0,5
87,-424171537,1,50,10,0,13
89,-424171307,1,50,10,1,9
91,-424166190,1,50,10,2,5
93,-424156655,1,50,10,2,13
95,-424148529,1,50,10,3,9
97,-424140119,1,50,20,0,5
99,-424139828,1,50,20,0,13
101,-424139566,1,50,20,1,9
103,-424128556,1,50,20,2,5
105,-424114445,1,50,20,2,13
107,-424097638,1,50,20,3,9
109,-424076337,1,50,30,0,5
111,-424076024,1,50,30,0,13
113,-424075740,1,50,30,1,9
115,-424064217,1,50,30,2,5
117,-424035702,1,50,30,2,13
119,-424012902,1,50,30,3,9
121,-423996342,1,50,40,0,5
123,-423995921,1,50,40,0,13
125,-423995712,1,50,40,1,9
127,-423972257,1,50,40,2,5
129,-423940647,1,50,40,2,13
131,-423907906,1,50,40,3,9
133,-423866089,1,50,50,0,5
135,-423865694,1,50,50,0,13
137,-423865403,1,50,50,1,9
139,-423841644,1,50,50,2,5
141,-423805316,1,50,50,2,13
143,-423766720,1,50,50,3,9
145,-423736797,2,50,0,0,5
147,-423736446,2,50,0,0,13
149,-423736203,2,50,0,1,9
151,-423733439,2,50,0,2,5
153,-423729546,2,50,0,2,13
155,-423726477,2,50,0,3,9
157,-423724721,2,50,10,0,5
159,-423724444,2,50,10,0,13
161,-423724229,2,50,10,1,9
163,-423719310,2,50,10,2,5
165,-423710183,2,50,10,2,13
167,-423705147,2,50,10,3,9
169,-423698832,2,50,20,0,5
171,-423698424,2,50,20,0,13
173,-423698282,2,50,20,1,9
175,-423690397,2,50,20,2,5
177,-423675812,2,50,20,2,13
179,-423666600,2,50,20,3,9
181,-423657285,2,50,30,0,5
183,-423656954,2,50,30,0,13
185,-423656763,2,50,30,1,9
187,-423643105,2,50,30,2,5
189,-423625894,2,50,30,2,13
191,-423610184,2,50,30,3,9
193,-423593723,2,50,40,0,5
195,-423593498,2,50,40,0,13
197,-423593280,2,50,40,1,9
199,-423580251,2,50,40,2,5
201,-423557930,2,50,40,2,13
