"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,157504106,0,50,0,0,5
3,157504544,0,50,0,0,13
5,157504687,0,50,0,1,9
7,157505411,0,50,0,2,5
9,157506175,0,50,0,2,13
11,157507332,0,50,0,3,9
13,157507711,0,50,10,0,5
15,157507831,0,50,10,0,13
17,157507931,0,50,10,1,9
19,157509474,0,50,10,2,5
21,157510998,0,50,10,2,13
23,157512383,0,50,10,3,9
25,157514043,0,50,20,0,5
27,157514157,0,50,20,0,13
29,157514209,0,50,20,1,9
31,157516816,0,50,20,2,5
33,157518450,0,50,20,2,13
35,157521119,0,50,20,3,9
37,157522504,0,50,30,0,5
39,157522648,0,50,30,0,13
41,157522788,0,50,30,1,9
43,157525098,0,50,30,2,5
45,157529805,0,50,30,2,13
47,157535066,0,50,30,3,9
49,157539051,0,50,40,0,5
51,157539267,0,50,40,0,13
53,157539378,0,50,40,1,9
55,157542917,0,50,40,2,5
57,157550083,0,50,40,2,13
59,157555732,0,50,40,3,9
61,157563252,0,50,50,0,5
63,157563339,0,50,50,0,13
65,157563425,0,50,50,1,9
67,157569496,0,50,50,2,5
69,157574587,0,50,50,2,13
71,157584807,0,50,50,3,9
73,157589872,1,50,0,0,5
75,157590160,1,50,0,0,13
77,157590506,1,50,0,1,9
79,157594132,1,50,0,2,5
81,157599633,1,50,0,2,13
83,157603590,1,50,0,3,9
85,157606251,1,50,10,0,5
87,157606783,1,50,10,0,13
89,157606996,1,50,10,1,9
91,157613283,1,50,10,2,5
93,157621235,1,50,10,2,13
95,157631431,1,50,10,3,9
97,157637841,1,50,20,0,5
99,157638268,1,50,20,0,13
101,157638533,1,50,20,1,9
103,157649685,1,50,20,2,5
105,157667791,1,50,20,2,13
107,157684313,1,50,20,3,9
109,157708501,1,50,30,0,5
111,157708862,1,50,30,0,13
113,157709123,1,50,30,1,9
115,157725525,1,50,30,2,5
117,157751256,1,50,30,2,13
119,157778283,1,50,30,3,9
121,157806314,1,50,40,0,5
123,157806642,1,50,40,0,13
125,157806880,1,50,40,1,9
127,157829686,1,50,40,2,5
129,157859547,1,50,40,2,13
131,157887453,1,50,40,3,9
133,157910761,1,50,50,0,5
135,157911518,1,50,50,0,13
137,157911936,1,50,50,1,9
139,157929529,1,50,50,2,5
141,157952640,1,50,50,2,13
143,157980377,1,50,50,3,9
145,158042426,2,50,0,0,5
147,158042738,2,50,0,0,13
149,158042950,2,50,0,1,9
151,158045966,2,50,0,2,5
153,158048827,2,50,0,2,13
155,158051366,2,50,0,3,9
157,158054408,2,50,10,0,5
159,158054775,2,50,10,0,13
161,158054973,2,50,10,1,9
163,158060602,2,50,10,2,5
165,158067433,2,50,10,2,13
167,158075307,2,50,10,3,9
169,158082273,2,50,20,0,5
171,158082569,2,50,20,0,13
173,158082735,2,50,20,1,9
175,158094374,2,50,20,2,5
177,158105045,2,50,20,2,13
179,158115895,2,50,20,3,9
181,158120797,2,50,30,0,5
183,158121169,2,50,30,0,13
185,158121357,2,50,30,1,9
187,158132057,2,50,30,2,5
189,158151554,2,50,30,2,13
191,158167938,2,50,30,3,9
193,158191146,2,50,40,0,5
195,158191447,2,50,40,0,13
197,158191584,2,50,40,1,9
199,158209600,2,50,40,2,5
201,158226083,2,50,40,2,13
203,158247845,2,50,40,3,9
205,158263347,2,50,50,0,5
207,158263559,2,50,50,0,13
209,158263756,2,50,50,1,9
211,158295064,2,50,50,2,5
213,158308831,2,50,50,2,13
215,158336587,2,50,50,3,9
217,158373898,3,50,0,0,5
219,158374188,3,50,0,0,13
221,158374495,3,50,0,1,9
223,158378365,3,50,0,2,5
225,158381252,3,50,0,2,13
227,158384539,3,50,0,3,9
229,158387563,3,50,10,0,5
231,158387966,3,50,10,0,13
233,158388267,3,50,10,1,9
235,158395821,3,50,10,2,5
237,158403652,3,50,10,2,13
239,158412646,3,50,10,3,9
241,158418293,3,50,20,0,5
243,158418660,3,50,20,0,13
245,158418931,3,50,20,1,9
247,158429566,3,50,20,2,5
249,158445596,3,50,20,2,13
251,158472372,3,50,20,3,9
253,158481213,3,50,30,0,5
255,158481518,3,50,30,0,13
257,158481756,3,50,30,1,9
259,158504746,3,50,30,2,5
261,158521591,3,50,30,2,13
263,158535492,3,50,30,3,9
265,158560201,3,50,40,0,5
267,158560506,3,50,40,0,13
269,158560783,3,50,40,1,9
271,158581052,3,50,40,2,5
273,158588648,3,50,40,2,13
275,158639654,3,50,40,3,9
277,158665362,3,50,50,0,5
279,158665745,3,50,50,0,13
281,158665996,3,50,50,1,9
283,158683742,3,50,50,2,5
285,158710812,3,50,50,2,13
287,158734436,3,50,50,3,9
289,158780333,4,50,0,0,5
291,158780975,4,50,0,0,13
293,158781508,4,50,0,1,9
295,158786211,4,50,0,2,5
297,158792578,4,50,0,2,13
299,158803382,4,50,0,3,9
301,158810279,4,50,10,0,5
303,158810747,4,50,10,0,13
305,158811287,4,50,10,1,9
307,158827073,4,50,10,2,5
309,158840349,4,50,10,2,13
311,158863524,4,50,10,3,9
313,158881545,4,50,20,0,5
315,158882124,4,50,20,0,13
317,158882666,4,50,20,1,9
319,158913874,4,50,20,2,5
321,158935692,4,50,20,2,13
323,158967184,4,50,20,3,9
325,158998671,4,50,30,0,5
327,158999313,4,50,30,0,13
329,158999738,4,50,30,1,9
331,159044115,4,50,30,2,5
333,159073559,4,50,30,2,13
335,159121187,4,50,30,3,9
337,159162249,4,50,40,0,5
339,159162789,4,50,40,0,13
341,159163338,4,50,40,1,9
343,159216128,4,50,40,2,5
345,159257271,4,50,40,2,13
347,159335682,4,50,40,3,9
