"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,105888054,0,50,0,0,5
3,105888483,0,50,0,0,13
5,105888545,0,50,0,1,9
7,105889187,0,50,0,2,5
9,105889667,0,50,0,2,13
11,105890233,0,50,0,3,9
13,105890611,0,50,10,0,5
15,105890740,0,50,10,0,13
17,105890834,0,50,10,1,9
19,105892734,0,50,10,2,5
21,105894645,0,50,10,2,13
23,105896080,0,50,10,3,9
25,105897325,0,50,20,0,5
27,105897442,0,50,20,0,13
29,105897521,0,50,20,1,9
31,105900153,0,50,20,2,5
33,105901343,0,50,20,2,13
35,105905100,0,50,20,3,9
37,105906251,0,50,30,0,5
39,105906355,0,50,30,0,13
41,105906448,0,50,30,1,9
43,105909313,0,50,30,2,5
45,105912882,0,50,30,2,13
47,105917664,0,50,30,3,9
49,105923732,0,50,40,0,5
51,105923848,0,50,40,0,13
53,105923956,0,50,40,1,9
55,105927810,0,50,40,2,5
57,105932914,0,50,40,2,13
59,105937107,0,50,40,3,9
61,105942564,0,50,50,0,5
63,105942678,0,50,50,0,13
65,105942761,0,50,50,1,9
67,105946889,0,50,50,2,5
69,105952027,0,50,50,2,13
71,105958899,0,50,50,3,9
73,105966116,1,50,0,0,5
75,105966402,1,50,0,0,13
77,105966705,1,50,0,1,9
79,105970476,1,50,0,2,5
81,105975899,1,50,0,2,13
83,105980286,1,50,0,3,9
85,105982363,1,50,10,0,5
87,105982663,1,50,10,0,13
89,105982936,1,50,10,1,9
91,105989895,1,50,10,2,5
93,106000470,1,50,10,2,13
95,106006296,1,50,10,3,9
97,106011925,1,50,20,0,5
99,106012148,1,50,20,0,13
101,106012420,1,50,20,1,9
103,106036335,1,50,20,2,5
105,106047137,1,50,20,2,13
107,106060424,1,50,20,3,9
109,106073888,1,50,30,0,5
111,106074124,1,50,30,0,13
113,106074324,1,50,30,1,9
115,106092042,1,50,30,2,5
117,106115450,1,50,30,2,13
119,106137704,1,50,30,3,9
121,106168367,1,50,40,0,5
123,106168789,1,50,40,0,13
125,106169063,1,50,40,1,9
127,106191540,1,50,40,2,5
129,106210207,1,50,40,2,13
131,106238681,1,50,40,3,9
133,106261585,1,50,50,0,5
135,106261857,1,50,50,0,13
137,106262065,1,50,50,1,9
139,106301018,1,50,50,2,5
141,106338598,1,50,50,2,13
143,106372367,1,50,50,3,9
145,106397404,2,50,0,0,5
147,106397584,2,50,0,0,13
149,106397756,2,50,0,1,9
151,106399371,2,50,0,2,5
153,106402376,2,50,0,2,13
155,106404893,2,50,0,3,9
157,106407255,2,50,10,0,5
159,106407589,2,50,10,0,13
161,106407786,2,50,10,1,9
163,106417619,2,50,10,2,5
165,106426701,2,50,10,2,13
167,106433154,2,50,10,3,9
169,106437554,2,50,20,0,5
171,106437793,2,50,20,0,13
173,106438000,2,50,20,1,9
175,106446762,2,50,20,2,5
177,106453208,2,50,20,2,13
179,106465672,2,50,20,3,9
181,106477890,2,50,30,0,5
183,106478240,2,50,30,0,13
185,106478534,2,50,30,1,9
187,106495791,2,50,30,2,5
189,106507086,2,50,30,2,13
191,106514966,2,50,30,3,9
193,106534422,2,50,40,0,5
195,106534647,2,50,40,0,13
197,106534810,2,50,40,1,9
199,106552220,2,50,40,2,5
201,106572039,2,50,40,2,13
203,106587421,2,50,40,3,9
205,106614141,2,50,50,0,5
207,106614391,2,50,50,0,13
209,106614527,2,50,50,1,9
211,106630534,2,50,50,2,5
213,106643990,2,50,50,2,13
215,106667216,2,50,50,3,9
217,106707751,3,50,0,0,5
219,106708139,3,50,0,0,13
221,106708422,3,50,0,1,9
223,106710782,3,50,0,2,5
225,106714102,3,50,0,2,13
227,106718004,3,50,0,3,9
229,106720147,3,50,10,0,5
231,106720436,3,50,10,0,13
233,106720693,3,50,10,1,9
235,106731450,3,50,10,2,5
237,106736465,3,50,10,2,13
239,106744332,3,50,10,3,9
241,106750108,3,50,20,0,5
243,106750419,3,50,20,0,13
245,106750657,3,50,20,1,9
247,106762882,3,50,20,2,5
249,106780002,3,50,20,2,13
251,106791739,3,50,20,3,9
253,106810672,3,50,30,0,5
255,106811139,3,50,30,0,13
257,106811351,3,50,30,1,9
259,106835973,3,50,30,2,5
261,106850907,3,50,30,2,13
263,106869277,3,50,30,3,9
265,106893384,3,50,40,0,5
267,106893781,3,50,40,0,13
269,106894002,3,50,40,1,9
271,106915249,3,50,40,2,5
273,106928277,3,50,40,2,13
275,106944899,3,50,40,3,9
277,106979719,3,50,50,0,5
279,106980197,3,50,50,0,13
