"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,10943189,0,50,0,0,5
3,10943600,0,50,0,0,13
5,10943708,0,50,0,1,9
7,10944080,0,50,0,2,5
9,10944835,0,50,0,2,13
11,10945869,0,50,0,3,9
13,10946340,0,50,10,0,5
15,10946444,0,50,10,0,13
17,10946544,0,50,10,1,9
19,10948302,0,50,10,2,5
21,10950346,0,50,10,2,13
23,10953537,0,50,10,3,9
25,10956034,0,50,20,0,5
27,10956105,0,50,20,0,13
29,10956203,0,50,20,1,9
31,10959320,0,50,20,2,5
33,10961320,0,50,20,2,13
35,10966266,0,50,20,3,9
37,10969220,0,50,30,0,5
39,10969298,0,50,30,0,13
41,10969400,0,50,30,1,9
43,10972203,0,50,30,2,5
45,10974082,0,50,30,2,13
47,10977615,0,50,30,3,9
49,10980481,0,50,40,0,5
51,10980571,0,50,40,0,13
53,10980662,0,50,40,1,9
55,10985333,0,50,40,2,5
57,10988916,0,50,40,2,13
59,10994581,0,50,40,3,9
61,10999204,0,50,50,0,5
63,10999332,0,50,50,0,13
65,10999445,0,50,50,1,9
67,11004697,0,50,50,2,5
69,11015929,0,50,50,2,13
71,11021097,0,50,50,3,9
73,11025955,1,50,0,0,5
75,11026375,1,50,0,0,13
77,11026616,1,50,0,1,9
79,11028435,1,50,0,2,5
81,11032129,1,50,0,2,13
83,11035960,1,50,0,3,9
85,11038086,1,50,10,0,5
87,11038326,1,50,10,0,13
89,11038586,1,50,10,1,9
91,11045228,1,50,10,2,5
93,11053298,1,50,10,2,13
95,11061376,1,50,10,3,9
97,11077293,1,50,20,0,5
99,11077632,1,50,20,0,13
101,11077872,1,50,20,1,9
103,11088015,1,50,20,2,5
105,11100137,1,50,20,2,13
107,11112078,1,50,20,3,9
109,11127727,1,50,30,0,5
111,11128000,1,50,30,0,13
113,11128165,1,50,30,1,9
115,11144876,1,50,30,2,5
117,11163270,1,50,30,2,13
119,11174466,1,50,30,3,9
121,11204253,1,50,40,0,5
123,11204639,1,50,40,0,13
125,11204961,1,50,40,1,9
127,11227825,1,50,40,2,5
129,11261537,1,50,40,2,13
131,11291438,1,50,40,3,9
133,11314174,1,50,50,0,5
