"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-196393334,0,50,0,0,5
3,-196392864,0,50,0,0,13
5,-196392693,0,50,0,1,9
7,-196392142,0,50,0,2,5
9,-196390943,0,50,0,2,13
11,-196389611,0,50,0,3,9
13,-196389124,0,50,10,0,5
15,-196389016,0,50,10,0,13
17,-196388909,0,50,10,1,9
19,-196387340,0,50,10,2,5
21,-196385271,0,50,10,2,13
23,-196383440,0,50,10,3,9
25,-196382230,0,50,20,0,5
27,-196382033,0,50,20,0,13
29,-196381915,0,50,20,1,9
31,-196377534,0,50,20,2,5
33,-196374327,0,50,20,2,13
35,-196370821,0,50,20,3,9
37,-196367271,0,50,30,0,5
39,-196367162,0,50,30,0,13
41,-196367099,0,50,30,1,9
43,-196362729,0,50,30,2,5
45,-196359024,0,50,30,2,13
47,-196353275,0,50,30,3,9
49,-196348114,0,50,40,0,5
51,-196348045,0,50,40,0,13
53,-196347872,0,50,40,1,9
55,-196343353,0,50,40,2,5
57,-196334511,0,50,40,2,13
59,-196330181,0,50,40,3,9
61,-196323890,0,50,50,0,5
63,-196323707,0,50,50,0,13
65,-196323595,0,50,50,1,9
67,-196315973,0,50,50,2,5
69,-196307531,0,50,50,2,13
71,-196300683,0,50,50,3,9
73,-196290503,1,50,0,0,5
75,-196290112,1,50,0,0,13
77,-196289873,1,50,0,1,9
79,-196286308,1,50,0,2,5
81,-196282350,1,50,0,2,13
83,-196278355,1,50,0,3,9
85,-196276742,1,50,10,0,5
87,-196276461,1,50,10,0,13
89,-196276176,1,50,10,1,9
91,-196271165,1,50,10,2,5
93,-196259528,1,50,10,2,13
95,-196252511,1,50,10,3,9
97,-196244230,1,50,20,0,5
99,-196243948,1,50,20,0,13
101,-196243714,1,50,20,1,9
103,-196232308,1,50,20,2,5
105,-196212677,1,50,20,2,13
107,-196195764,1,50,20,3,9
109,-196182900,1,50,30,0,5
111,-196182512,1,50,30,0,13
113,-196182262,1,50,30,1,9
115,-196159316,1,50,30,2,5
117,-196131682,1,50,30,2,13
119,-196110945,1,50,30,3,9
121,-196099942,1,50,40,0,5
123,-196099609,1,50,40,0,13
125,-196099375,1,50,40,1,9
127,-196077725,1,50,40,2,5
129,-196060701,1,50,40,2,13
131,-196028838,1,50,40,3,9
133,-196004103,1,50,50,0,5
135,-196003806,1,50,50,0,13
137,-196003587,1,50,50,1,9
139,-195962469,1,50,50,2,5
141,-195932906,1,50,50,2,13
143,-195906197,1,50,50,3,9
145,-195877287,2,50,0,0,5
147,-195877146,2,50,0,0,13
149,-195876959,2,50,0,1,9
151,-195875187,2,50,0,2,5
153,-195871746,2,50,0,2,13
155,-195869261,2,50,0,3,9
157,-195867698,2,50,10,0,5
