"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,173867302,0,50,0,0,5
3,173867737,0,50,0,0,13
5,173867861,0,50,0,1,9
7,173868534,0,50,0,2,5
9,173869521,0,50,0,2,13
11,173870323,0,50,0,3,9
13,173870933,0,50,10,0,5
15,173871175,0,50,10,0,13
17,173871335,0,50,10,1,9
19,173874202,0,50,10,2,5
21,173877245,0,50,10,2,13
23,173880651,0,50,10,3,9
25,173883544,0,50,20,0,5
27,173883659,0,50,20,0,13
29,173883749,0,50,20,1,9
31,173885308,0,50,20,2,5
33,173887174,0,50,20,2,13
35,173889918,0,50,20,3,9
37,173893382,0,50,30,0,5
39,173893485,0,50,30,0,13
41,173893582,0,50,30,1,9
43,173896885,0,50,30,2,5
45,173901277,0,50,30,2,13
47,173907260,0,50,30,3,9
49,173910345,0,50,40,0,5
51,173910484,0,50,40,0,13
53,173910586,0,50,40,1,9
55,173914728,0,50,40,2,5
57,173919640,0,50,40,2,13
59,173924187,0,50,40,3,9
61,173928506,0,50,50,0,5
63,173928598,0,50,50,0,13
65,173928690,0,50,50,1,9
67,173934152,0,50,50,2,5
69,173936981,0,50,50,2,13
71,173939353,0,50,50,3,9
73,173946567,1,50,0,0,5
75,173946898,1,50,0,0,13
77,173947186,1,50,0,1,9
79,173952411,1,50,0,2,5
81,173956447,1,50,0,2,13
83,173960359,1,50,0,3,9
85,173962363,1,50,10,0,5
87,173962693,1,50,10,0,13
89,173962946,1,50,10,1,9
91,173969298,1,50,10,2,5
93,173980958,1,50,10,2,13
95,173990279,1,50,10,3,9
97,174004553,1,50,20,0,5
99,174004963,1,50,20,0,13
101,174005217,1,50,20,1,9
103,174014600,1,50,20,2,5
105,174036588,1,50,20,2,13
107,174046063,1,50,20,3,9
109,174055678,1,50,30,0,5
111,174056059,1,50,30,0,13
113,174056364,1,50,30,1,9
115,174077617,1,50,30,2,5
117,174103552,1,50,30,2,13
119,174124213,1,50,30,3,9
121,174143601,1,50,40,0,5
123,174143967,1,50,40,0,13
125,174144198,1,50,40,1,9
127,174173966,1,50,40,2,5
129,174203681,1,50,40,2,13
131,174226875,1,50,40,3,9
133,174248502,1,50,50,0,5
135,174248784,1,50,50,0,13
137,174249057,1,50,50,1,9
139,174276301,1,50,50,2,5
141,174320042,1,50,50,2,13
143,174355695,1,50,50,3,9
145,174393603,2,50,0,0,5
147,174393886,2,50,0,0,13
149,174394062,2,50,0,1,9
151,174395256,2,50,0,2,5
153,174399522,2,50,0,2,13
155,174401926,2,50,0,3,9
157,174403772,2,50,10,0,5
159,174404088,2,50,10,0,13
161,174404240,2,50,10,1,9
163,174407521,2,50,10,2,5
165,174412374,2,50,10,2,13
167,174420850,2,50,10,3,9
169,174424728,2,50,20,0,5
171,174425078,2,50,20,0,13
173,174425233,2,50,20,1,9
175,174444609,2,50,20,2,5
177,174459966,2,50,20,2,13
179,174466143,2,50,20,3,9
181,174476844,2,50,30,0,5
183,174477109,2,50,30,0,13
185,174477287,2,50,30,1,9
187,174487513,2,50,30,2,5
189,174503047,2,50,30,2,13
191,174519629,2,50,30,3,9
193,174540271,2,50,40,0,5
195,174540557,2,50,40,0,13
197,174540732,2,50,40,1,9
199,174552430,2,50,40,2,5
201,174570781,2,50,40,2,13
203,174586957,2,50,40,3,9
205,174612977,2,50,50,0,5
207,174613194,2,50,50,0,13
209,174613402,2,50,50,1,9
211,174634570,2,50,50,2,5
213,174668164,2,50,50,2,13
215,174684785,2,50,50,3,9
217,174708249,3,50,0,0,5
219,174708581,3,50,0,0,13
221,174708769,3,50,0,1,9
223,174711331,3,50,0,2,5
225,174713598,3,50,0,2,13
227,174717863,3,50,0,3,9
229,174720016,3,50,10,0,5
231,174720310,3,50,10,0,13
233,174720607,3,50,10,1,9
235,174731645,3,50,10,2,5
237,174741104,3,50,10,2,13
239,174750620,3,50,10,3,9
241,174756663,3,50,20,0,5
243,174756911,3,50,20,0,13
245,174757151,3,50,20,1,9
247,174769294,3,50,20,2,5
249,174787143,3,50,20,2,13
251,174799404,3,50,20,3,9
253,174824199,3,50,30,0,5
255,174824590,3,50,30,0,13
257,174824817,3,50,30,1,9
259,174844659,3,50,30,2,5
261,174863535,3,50,30,2,13
263,174879040,3,50,30,3,9
265,174905232,3,50,40,0,5
267,174905518,3,50,40,0,13
269,174905874,3,50,40,1,9
271,174923048,3,50,40,2,5
273,174943870,3,50,40,2,13
275,174970616,3,50,40,3,9
277,174989079,3,50,50,0,5
279,174989447,3,50,50,0,13
281,174989908,3,50,50,1,9
283,175037351,3,50,50,2,5
285,175062674,3,50,50,2,13
287,175120333,3,50,50,3,9
289,175143691,4,50,0,0,5
291,175144325,4,50,0,0,13
293,175144783,4,50,0,1,9
295,175151638,4,50,0,2,5
297,175158257,4,50,0,2,13
299,175168603,4,50,0,3,9
301,175174878,4,50,10,0,5
303,175175469,4,50,10,0,13
305,175175997,4,50,10,1,9
307,175198040,4,50,10,2,5
309,175215436,4,50,10,2,13
311,175247635,4,50,10,3,9
313,175268595,4,50,20,0,5
315,175269186,4,50,20,0,13
317,175269626,4,50,20,1,9
319,175307033,4,50,20,2,5
321,175333783,4,50,20,2,13
323,175366671,4,50,20,3,9
325,175392890,4,50,30,0,5
327,175393543,4,50,30,0,13
329,175394037,4,50,30,1,9
331,175437481,4,50,30,2,5
333,175472534,4,50,30,2,13
335,175555485,4,50,30,3,9
337,175601419,4,50,40,0,5
339,175601770,4,50,40,0,13
341,175602219,4,50,40,1,9
343,175661756,4,50,40,2,5
345,175711418,4,50,40,2,13
347,175776468,4,50,40,3,9
349,175843980,4,50,50,0,5
351,175844593,4,50,50,0,13
353,175845148,4,50,50,1,9
355,175908110,4,50,50,2,5
357,175960330,4,50,50,2,13
359,176059702,4,50,50,3,9
361,176152901,5,50,0,0,5
363,176153691,5,50,0,0,13
365,176154352,5,50,0,1,9
367,176163105,5,50,0,2,5
369,176171973,5,50,0,2,13
371,176189172,5,50,0,3,9
373,176199300,5,50,10,0,5
375,176200077,5,50,10,0,13
377,176200596,5,50,10,1,9
379,176228019,5,50,10,2,5
381,176249955,5,50,10,2,13
383,176291924,5,50,10,3,9
385,176318448,5,50,20,0,5
387,176319169,5,50,20,0,13
389,176319898,5,50,20,1,9
391,176376942,5,50,20,2,5
393,176406581,5,50,20,2,13
395,176460124,5,50,20,3,9
397,176507676,5,50,30,0,5
399,176508461,5,50,30,0,13
401,176509100,5,50,30,1,9
403,176570700,5,50,30,2,5
405,176620233,5,50,30,2,13
407,176722678,5,50,30,3,9
409,176784994,5,50,40,0,5
411,176785772,5,50,40,0,13
413,176786195,5,50,40,1,9
415,176868422,5,50,40,2,5
417,176915857,5,50,40,2,13
419,177018176,5,50,40,3,9
421,177116423,5,50,50,0,5
423,177117029,5,50,50,0,13
425,177117726,5,50,50,1,9
427,177226800,5,50,50,2,5
429,177289617,5,50,50,2,13
431,177404540,5,50,50,3,9
2,173867390,0,50,0,0,9
