"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-509947402,0,50,0,0,5
3,-509946892,0,50,0,0,13
5,-509946784,0,50,0,1,9
7,-509945899,0,50,0,2,5
9,-509944818,0,50,0,2,13
11,-509943898,0,50,0,3,9
13,-509943390,0,50,10,0,5
15,-509943301,0,50,10,0,13
17,-509943187,0,50,10,1,9
19,-509941463,0,50,10,2,5
21,-509939886,0,50,10,2,13
23,-509937893,0,50,10,3,9
25,-509936458,0,50,20,0,5
27,-509936346,0,50,20,0,13
29,-509936253,0,50,20,1,9
31,-509933649,0,50,20,2,5
33,-509932008,0,50,20,2,13
35,-509928199,0,50,20,3,9
37,-509926639,0,50,30,0,5
39,-509926577,0,50,30,0,13
41,-509926465,0,50,30,1,9
43,-509922950,0,50,30,2,5
45,-509921336,0,50,30,2,13
47,-509917873,0,50,30,3,9
49,-509911634,0,50,40,0,5
51,-509911548,0,50,40,0,13
53,-509911447,0,50,40,1,9
55,-509906864,0,50,40,2,5
57,-509902709,0,50,40,2,13
59,-509898329,0,50,40,3,9
61,-509894203,0,50,50,0,5
63,-509894085,0,50,50,0,13
65,-509893979,0,50,50,1,9
67,-509885849,0,50,50,2,5
69,-509877230,0,50,50,2,13
71,-509870163,0,50,50,3,9
73,-509863774,1,50,0,0,5
75,-509863226,1,50,0,0,13
77,-509862884,1,50,0,1,9
79,-509859213,1,50,0,2,5
81,-509854702,1,50,0,2,13
83,-509851153,1,50,0,3,9
85,-509847168,1,50,10,0,5
87,-509846934,1,50,10,0,13
89,-509846619,1,50,10,1,9
91,-509841107,1,50,10,2,5
93,-509830724,1,50,10,2,13
95,-509819285,1,50,10,3,9
97,-509812238,1,50,20,0,5
99,-509811887,1,50,20,0,13
101,-509811589,1,50,20,1,9
103,-509798733,1,50,20,2,5
105,-509783463,1,50,20,2,13
107,-509772130,1,50,20,3,9
109,-509761218,1,50,30,0,5
111,-509760775,1,50,30,0,13
113,-509760557,1,50,30,1,9
115,-509745619,1,50,30,2,5
117,-509723945,1,50,30,2,13
119,-509708127,1,50,30,3,9
121,-509689245,1,50,40,0,5
123,-509688988,1,50,40,0,13
125,-509688827,1,50,40,1,9
127,-509648734,1,50,40,2,5
129,-509623713,1,50,40,2,13
131,-509602188,1,50,40,3,9
133,-509582917,1,50,50,0,5
135,-509582725,1,50,50,0,13
137,-509582420,1,50,50,1,9
139,-509553352,1,50,50,2,5
141,-509530811,1,50,50,2,13
143,-509506187,1,50,50,3,9
145,-509467611,2,50,0,0,5
147,-509467430,2,50,0,0,13
149,-509467199,2,50,0,1,9
151,-509465669,2,50,0,2,5
153,-509461508,2,50,0,2,13
155,-509458613,2,50,0,3,9
157,-509457294,2,50,10,0,5
159,-509457028,2,50,10,0,13
161,-509456826,2,50,10,1,9
163,-509445794,2,50,10,2,5
165,-509435409,2,50,10,2,13
167,-509431694,2,50,10,3,9
169,-509427644,2,50,20,0,5
171,-509427351,2,50,20,0,13
173,-509427136,2,50,20,1,9
175,-509419734,2,50,20,2,5
177,-509408566,2,50,20,2,13
179,-509397289,2,50,20,3,9
181,-509386902,2,50,30,0,5
183,-509386678,2,50,30,0,13
185,-509386516,2,50,30,1,9
187,-509372243,2,50,30,2,5
189,-509356775,2,50,30,2,13
191,-509341974,2,50,30,3,9
193,-509316585,2,50,40,0,5
195,-509316208,2,50,40,0,13
197,-509315976,2,50,40,1,9
199,-509285756,2,50,40,2,5
201,-509268192,2,50,40,2,13
203,-509254680,2,50,40,3,9
205,-509225214,2,50,50,0,5
207,-509224896,2,50,50,0,13
209,-509224701,2,50,50,1,9
211,-509183132,2,50,50,2,5
213,-509157622,2,50,50,2,13
215,-509141972,2,50,50,3,9
217,-509110321,3,50,0,0,5
219,-509110024,3,50,0,0,13
221,-509109807,3,50,0,1,9
223,-509106002,3,50,0,2,5
225,-509101036,3,50,0,2,13
227,-509095933,3,50,0,3,9
229,-509092816,3,50,10,0,5
231,-509092459,3,50,10,0,13
233,-509092163,3,50,10,1,9
235,-509082463,3,50,10,2,5
237,-509069449,3,50,10,2,13
239,-509063383,3,50,10,3,9
241,-509057177,3,50,20,0,5
243,-509056835,3,50,20,0,13
245,-509056611,3,50,20,1,9
247,-509035272,3,50,20,2,5
249,-509020470,3,50,20,2,13
251,-509006676,3,50,20,3,9
253,-508989193,3,50,30,0,5
255,-508988935,3,50,30,0,13
257,-508988611,3,50,30,1,9
259,-508969772,3,50,30,2,5
261,-508948410,3,50,30,2,13
263,-508931375,3,50,30,3,9
265,-508906848,3,50,40,0,5
267,-508906546,3,50,40,0,13
269,-508906322,3,50,40,1,9
271,-508866429,3,50,40,2,5
273,-508833139,3,50,40,2,13
275,-508813251,3,50,40,3,9
277,-508783238,3,50,50,0,5
279,-508782813,3,50,50,0,13
281,-508782562,3,50,50,1,9
283,-508761165,3,50,50,2,5
285,-508724486,3,50,50,2,13
287,-508696439,3,50,50,3,9
289,-508650444,4,50,0,0,5
291,-508649862,4,50,0,0,13
293,-508649335,4,50,0,1,9
295,-508644105,4,50,0,2,5
297,-508638079,4,50,0,2,13
299,-508627909,4,50,0,3,9
301,-508622590,4,50,10,0,5
303,-508621996,4,50,10,0,13
305,-508621436,4,50,10,1,9
307,-508600791,4,50,10,2,5
309,-508584708,4,50,10,2,13
311,-508559723,4,50,10,3,9
313,-508542019,4,50,20,0,5
315,-508541384,4,50,20,0,13
317,-508540898,4,50,20,1,9
319,-508511216,4,50,20,2,5
