"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,62932727,0,50,0,0,5
3,62933102,0,50,0,0,13
5,62933234,0,50,0,1,9
7,62933685,0,50,0,2,5
9,62934272,0,50,0,2,13
11,62935369,0,50,0,3,9
13,62935975,0,50,10,0,5
15,62936086,0,50,10,0,13
17,62936182,0,50,10,1,9
19,62938135,0,50,10,2,5
21,62940402,0,50,10,2,13
23,62942110,0,50,10,3,9
25,62943624,0,50,20,0,5
27,62943736,0,50,20,0,13
29,62943868,0,50,20,1,9
31,62946772,0,50,20,2,5
33,62949391,0,50,20,2,13
35,62952392,0,50,20,3,9
37,62956940,0,50,30,0,5
39,62957048,0,50,30,0,13
41,62957121,0,50,30,1,9
43,62959888,0,50,30,2,5
45,62962524,0,50,30,2,13
47,62966427,0,50,30,3,9
49,62974073,0,50,40,0,5
51,62974189,0,50,40,0,13
53,62974254,0,50,40,1,9
55,62981695,0,50,40,2,5
57,62987660,0,50,40,2,13
59,62995609,0,50,40,3,9
61,62998085,0,50,50,0,5
63,62998193,0,50,50,0,13
65,62998309,0,50,50,1,9
67,63003459,0,50,50,2,5
69,63009005,0,50,50,2,13
71,63014509,0,50,50,3,9
73,63021782,1,50,0,0,5
75,63022157,1,50,0,0,13
77,63022385,1,50,0,1,9
79,63025385,1,50,0,2,5
81,63029198,1,50,0,2,13
83,63032643,1,50,0,3,9
85,63036927,1,50,10,0,5
87,63037212,1,50,10,0,13
89,63037497,1,50,10,1,9
91,63044201,1,50,10,2,5
93,63055814,1,50,10,2,13
95,63060963,1,50,10,3,9
97,63069079,1,50,20,0,5
99,63069376,1,50,20,0,13
101,63069637,1,50,20,1,9
103,63082067,1,50,20,2,5
105,63100437,1,50,20,2,13
107,63112896,1,50,20,3,9
109,63127288,1,50,30,0,5
111,63127517,1,50,30,0,13
113,63127791,1,50,30,1,9
115,63148001,1,50,30,2,5
117,63171976,1,50,30,2,13
119,63196140,1,50,30,3,9
121,63223100,1,50,40,0,5
123,63223378,1,50,40,0,13
125,63223628,1,50,40,1,9
127,63240730,1,50,40,2,5
129,63269664,1,50,40,2,13
131,63300922,1,50,40,3,9
133,63333777,1,50,50,0,5
135,63334117,1,50,50,0,13
137,63334389,1,50,50,1,9
139,63361205,1,50,50,2,5
141,63396084,1,50,50,2,13
143,63425477,1,50,50,3,9
145,63485658,2,50,0,0,5
147,63486004,2,50,0,0,13
149,63486194,2,50,0,1,9
151,63488349,2,50,0,2,5
153,63492763,2,50,0,2,13
155,63495180,2,50,0,3,9
157,63498813,2,50,10,0,5
159,63499074,2,50,10,0,13
161,63499296,2,50,10,1,9
163,63506292,2,50,10,2,5
165,63517239,2,50,10,2,13
167,63524654,2,50,10,3,9
169,63534307,2,50,20,0,5
171,63534696,2,50,20,0,13
173,63534899,2,50,20,1,9
175,63539984,2,50,20,2,5
177,63552445,2,50,20,2,13
179,63564144,2,50,20,3,9
181,63575880,2,50,30,0,5
183,63576093,2,50,30,0,13
185,63576222,2,50,30,1,9
187,63589644,2,50,30,2,5
189,63605699,2,50,30,2,13
191,63618380,2,50,30,3,9
193,63628867,2,50,40,0,5
195,63629177,2,50,40,0,13
197,63629376,2,50,40,1,9
199,63651327,2,50,40,2,5
201,63669758,2,50,40,2,13
203,63690972,2,50,40,3,9
205,63708617,2,50,50,0,5
207,63708953,2,50,50,0,13
209,63709129,2,50,50,1,9
211,63729220,2,50,50,2,5
213,63745203,2,50,50,2,13
215,63770200,2,50,50,3,9
217,63797553,3,50,0,0,5
219,63797781,3,50,0,0,13
221,63798008,3,50,0,1,9
