"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-189682831,0,50,0,0,5
3,-189682409,0,50,0,0,13
5,-189682284,0,50,0,1,9
7,-189681878,0,50,0,2,5
9,-189681440,0,50,0,2,13
11,-189681096,0,50,0,3,9
13,-189680612,0,50,10,0,5
15,-189680534,0,50,10,0,13
17,-189680409,0,50,10,1,9
19,-189677473,0,50,10,2,5
21,-189675848,0,50,10,2,13
23,-189674209,0,50,10,3,9
25,-189671491,0,50,20,0,5
27,-189671366,0,50,20,0,13
29,-189671272,0,50,20,1,9
31,-189669709,0,50,20,2,5
33,-189667315,0,50,20,2,13
35,-189664553,0,50,20,3,9
37,-189660470,0,50,30,0,5
39,-189660313,0,50,30,0,13
41,-189660251,0,50,30,1,9
43,-189655489,0,50,30,2,5
45,-189651254,0,50,30,2,13
47,-189647348,0,50,30,3,9
49,-189643677,0,50,40,0,5
51,-189643552,0,50,40,0,13
53,-189643443,0,50,40,1,9
55,-189639834,0,50,40,2,5
57,-189634053,0,50,40,2,13
59,-189628568,0,50,40,3,9
61,-189625208,0,50,50,0,5
63,-189625083,0,50,50,0,13
65,-189624990,0,50,50,1,9
67,-189616817,0,50,50,2,5
69,-189610084,0,50,50,2,13
71,-189607223,0,50,50,3,9
73,-189600474,1,50,0,0,5
75,-189600161,1,50,0,0,13
77,-189599927,1,50,0,1,9
79,-189598020,1,50,0,2,5
81,-189594444,1,50,0,2,13
83,-189591615,1,50,0,3,9
85,-189589272,1,50,10,0,5
87,-189588944,1,50,10,0,13
89,-189588678,1,50,10,1,9
91,-189581553,1,50,10,2,5
93,-189572598,1,50,10,2,13
95,-189565626,1,50,10,3,9
97,-189557317,1,50,20,0,5
99,-189557020,1,50,20,0,13
101,-189556796,1,50,20,1,9
103,-189536054,1,50,20,2,5
105,-189516457,1,50,20,2,13
107,-189502238,1,50,20,3,9
109,-189489986,1,50,30,0,5
111,-189489600,1,50,30,0,13
113,-189489397,1,50,30,1,9
115,-189472958,1,50,30,2,5
117,-189461342,1,50,30,2,13
119,-189449631,1,50,30,3,9
121,-189421555,1,50,40,0,5
123,-189421180,1,50,40,0,13
125,-189420946,1,50,40,1,9
127,-189395005,1,50,40,2,5
129,-189378787,1,50,40,2,13
131,-189349490,1,50,40,3,9
133,-189328162,1,50,50,0,5
135,-189327879,1,50,50,0,13
137,-189327660,1,50,50,1,9
139,-189302833,1,50,50,2,5
141,-189277114,1,50,50,2,13
143,-189242149,1,50,50,3,9
145,-189200995,2,50,0,0,5
147,-189200729,2,50,0,0,13
149,-189200573,2,50,0,1,9
151,-189199070,2,50,0,2,5
153,-189197849,2,50,0,2,13
155,-189195787,2,50,0,3,9
157,-189193519,2,50,10,0,5
159,-189193253,2,50,10,0,13
161,-189193050,2,50,10,1,9
163,-189182766,2,50,10,2,5
165,-189177128,2,50,10,2,13
167,-189171439,2,50,10,3,9
169,-189166926,2,50,20,0,5
171,-189166598,2,50,20,0,13
173,-189166411,2,50,20,1,9
175,-189151988,2,50,20,2,5
177,-189143036,2,50,20,2,13
179,-189137238,2,50,20,3,9
181,-189120066,2,50,30,0,5
183,-189119865,2,50,30,0,13
185,-189119678,2,50,30,1,9
187,-189101129,2,50,30,2,5
189,-189090922,2,50,30,2,13
191,-189083879,2,50,30,3,9
193,-189063323,2,50,40,0,5
195,-189063120,2,50,40,0,13
197,-189062912,2,50,40,1,9
199,-189030435,2,50,40,2,5
201,-189010789,2,50,40,2,13
203,-188988715,2,50,40,3,9
205,-188975425,2,50,50,0,5
207,-188975111,2,50,50,0,13
209,-188974939,2,50,50,1,9
211,-188934647,2,50,50,2,5
213,-188907801,2,50,50,2,13
215,-188887983,2,50,50,3,9
217,-188858521,3,50,0,0,5
219,-188858115,3,50,0,0,13
221,-188857926,3,50,0,1,9
223,-188854740,3,50,0,2,5
225,-188851221,3,50,0,2,13
227,-188848146,3,50,0,3,9
229,-188844459,3,50,10,0,5
231,-188844137,3,50,10,0,13
233,-188843875,3,50,10,1,9
235,-188832660,3,50,10,2,5
237,-188821113,3,50,10,2,13
239,-188813297,3,50,10,3,9
241,-188807141,3,50,20,0,5
243,-188806797,3,50,20,0,13
245,-188806578,3,50,20,1,9
247,-188789303,3,50,20,2,5
249,-188779209,3,50,20,2,13
251,-188766189,3,50,20,3,9
253,-188755708,3,50,30,0,5
255,-188755411,3,50,30,0,13
257,-188755176,3,50,30,1,9
259,-188731223,3,50,30,2,5
261,-188713683,3,50,30,2,13
263,-188700182,3,50,30,3,9
265,-188673617,3,50,40,0,5
267,-188673257,3,50,40,0,13
269,-188673006,3,50,40,1,9
271,-188638974,3,50,40,2,5
273,-188620109,3,50,40,2,13
275,-188567967,3,50,40,3,9
277,-188527848,3,50,50,0,5
279,-188527473,3,50,50,0,13
281,-188527207,3,50,50,1,9
283,-188490724,3,50,50,2,5
285,-188469889,3,50,50,2,13
287,-188436205,3,50,50,3,9
289,-188402269,4,50,0,0,5
291,-188401722,4,50,0,0,13
293,-188401300,4,50,0,1,9
295,-188394772,4,50,0,2,5
297,-188387558,4,50,0,2,13
299,-188378646,4,50,0,3,9
301,-188373567,4,50,10,0,5
303,-188373007,4,50,10,0,13
305,-188372585,4,50,10,1,9
307,-188355156,4,50,10,2,5
309,-188340922,4,50,10,2,13
311,-188319006,4,50,10,3,9
313,-188302315,4,50,20,0,5
315,-188301847,4,50,20,0,13
317,-188301300,4,50,20,1,9
319,-188278943,4,50,20,2,5
321,-188255441,4,50,20,2,13
323,-188207648,4,50,20,3,9
325,-188181535,4,50,30,0,5
327,-188181004,4,50,30,0,13
329,-188180472,4,50,30,1,9
331,-188132762,4,50,30,2,5
333,-188103895,4,50,30,2,13
335,-188049474,4,50,30,3,9
337,-188007097,4,50,40,0,5
339,-188006535,4,50,40,0,13
341,-188006019,4,50,40,1,9
343,-187946987,4,50,40,2,5
345,-187903083,4,50,40,2,13
347,-187837149,4,50,40,3,9
349,-187774802,4,50,50,0,5
351,-187774239,4,50,50,0,13
353,-187773802,4,50,50,1,9
355,-187712753,4,50,50,2,5
357,-187674052,4,50,50,2,13
359,-187615003,4,50,50,3,9
361,-187525519,5,50,0,0,5
363,-187525035,5,50,0,0,13
365,-187524505,5,50,0,1,9
367,-187518056,5,50,0,2,5
369,-187510827,5,50,0,2,13
371,-187494021,5,50,0,3,9
373,-187488715,5,50,10,0,5
375,-187488137,5,50,10,0,13
377,-187487573,5,50,10,1,9
379,-187464052,5,50,10,2,5
381,-187444583,5,50,10,2,13
383,-187421019,5,50,10,3,9
385,-187398169,5,50,20,0,5
387,-187397636,5,50,20,0,13
389,-187397011,5,50,20,1,9
391,-187355081,5,50,20,2,5
393,-187335051,5,50,20,2,13
395,-187286581,5,50,20,3,9
397,-187246604,5,50,30,0,5
399,-187246011,5,50,30,0,13
401,-187245497,5,50,30,1,9
403,-187195112,5,50,30,2,5
405,-187154360,5,50,30,2,13
407,-187091463,5,50,30,3,9
409,-187034799,5,50,40,0,5
411,-187034142,5,50,40,0,13
413,-187033642,5,50,40,1,9
415,-186934363,5,50,40,2,5
417,-186900753,5,50,40,2,13
419,-186797345,5,50,40,3,9
421,-186684660,5,50,50,0,5
423,-186684160,5,50,50,0,13
425,-186683558,5,50,50,1,9
427,-186609379,5,50,50,2,5
429,-186542400,5,50,50,2,13
431,-186415740,5,50,50,3,9
2,-189682784,0,50,0,0,9
4,-189682425,0,50,0,1,5
6,-189681956,0,50,0,1,13
8,-189681440,0,50,0,2,9
10,-189680487,0,50,0,3,5
