"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-452729596,0,50,0,0,5
3,-452729173,0,50,0,0,13
5,-452729054,0,50,0,1,9
7,-452728534,0,50,0,2,5
9,-452727413,0,50,0,2,13
11,-452726671,0,50,0,3,9
13,-452725939,0,50,10,0,5
15,-452725808,0,50,10,0,13
17,-452725654,0,50,10,1,9
19,-452723503,0,50,10,2,5
21,-452721406,0,50,10,2,13
23,-452719955,0,50,10,3,9
25,-452718655,0,50,20,0,5
27,-452718556,0,50,20,0,13
29,-452718471,0,50,20,1,9
31,-452716382,0,50,20,2,5
33,-452714487,0,50,20,2,13
35,-452711820,0,50,20,3,9
37,-452708425,0,50,30,0,5
39,-452708290,0,50,30,0,13
41,-452708214,0,50,30,1,9
43,-452702976,0,50,30,2,5
45,-452696668,0,50,30,2,13
47,-452691894,0,50,30,3,9
49,-452687259,0,50,40,0,5
51,-452687132,0,50,40,0,13
53,-452687034,0,50,40,1,9
55,-452681025,0,50,40,2,5
57,-452677160,0,50,40,2,13
59,-452675702,0,50,40,3,9
61,-452670795,0,50,50,0,5
63,-452670656,0,50,50,0,13
65,-452670552,0,50,50,1,9
67,-452665502,0,50,50,2,5
69,-452658949,0,50,50,2,13
71,-452650092,0,50,50,3,9
73,-452644156,1,50,0,0,5
75,-452643799,1,50,0,0,13
77,-452643525,1,50,0,1,9
79,-452641291,1,50,0,2,5
81,-452635967,1,50,0,2,13
83,-452632005,1,50,0,3,9
85,-452628417,1,50,10,0,5
87,-452627995,1,50,10,0,13
89,-452627772,1,50,10,1,9
91,-452621617,1,50,10,2,5
93,-452611800,1,50,10,2,13
95,-452604298,1,50,10,3,9
97,-452597603,1,50,20,0,5
99,-452597185,1,50,20,0,13
101,-452596940,1,50,20,1,9
103,-452577337,1,50,20,2,5
105,-452563051,1,50,20,2,13
107,-452546053,1,50,20,3,9
109,-452534558,1,50,30,0,5
111,-452534171,1,50,30,0,13
113,-452533944,1,50,30,1,9
115,-452518535,1,50,30,2,5
117,-452497105,1,50,30,2,13
119,-452478877,1,50,30,3,9
121,-452459520,1,50,40,0,5
123,-452459204,1,50,40,0,13
125,-452459049,1,50,40,1,9
127,-452426906,1,50,40,2,5
129,-452404147,1,50,40,2,13
131,-452377283,1,50,40,3,9
133,-452337364,1,50,50,0,5
135,-452337125,1,50,50,0,13
137,-452336857,1,50,50,1,9
139,-452303425,1,50,50,2,5
141,-452270600,1,50,50,2,13
143,-452242011,1,50,50,3,9
145,-452202370,2,50,0,0,5
147,-452202104,2,50,0,0,13
149,-452201923,2,50,0,1,9
151,-452200767,2,50,0,2,5
153,-452196949,2,50,0,2,13
155,-452193902,2,50,0,3,9
157,-452192073,2,50,10,0,5
159,-452191790,2,50,10,0,13
161,-452191633,2,50,10,1,9
163,-452184627,2,50,10,2,5
165,-452176369,2,50,10,2,13
167,-452169319,2,50,10,3,9
169,-452163418,2,50,20,0,5
171,-452163078,2,50,20,0,13
173,-452162869,2,50,20,1,9
175,-452154766,2,50,20,2,5
177,-452146866,2,50,20,2,13
179,-452137692,2,50,20,3,9
181,-452128399,2,50,30,0,5
183,-452128161,2,50,30,0,13
185,-452127976,2,50,30,1,9
187,-452107904,2,50,30,2,5
189,-452087999,2,50,30,2,13
191,-452073620,2,50,30,3,9
193,-452047924,2,50,40,0,5
195,-452047699,2,50,40,0,13
197,-452047537,2,50,40,1,9
199,-452032988,2,50,40,2,5
201,-452005064,2,50,40,2,13
203,-451988921,2,50,40,3,9
205,-451967092,2,50,50,0,5
207,-451966787,2,50,50,0,13
209,-451966657,2,50,50,1,9
211,-451941367,2,50,50,2,5
213,-451919793,2,50,50,2,13
215,-451895094,2,50,50,3,9
217,-451875995,3,50,0,0,5
219,-451875717,3,50,0,0,13
221,-451875450,3,50,0,1,9
223,-451872745,3,50,0,2,5
225,-451869545,3,50,0,2,13
227,-451866049,3,50,0,3,9
229,-451864441,3,50,10,0,5
231,-451864119,3,50,10,0,13
233,-451863898,3,50,10,1,9
235,-451857282,3,50,10,2,5
237,-451847795,3,50,10,2,13
239,-451840370,3,50,10,3,9
241,-451831666,3,50,20,0,5
243,-451831421,3,50,20,0,13
245,-451831168,3,50,20,1,9
247,-451821742,3,50,20,2,5
249,-451811965,3,50,20,2,13
251,-451800414,3,50,20,3,9
253,-451790489,3,50,30,0,5
255,-451790193,3,50,30,0,13
257,-451789962,3,50,30,1,9
259,-451763513,3,50,30,2,5
261,-451747811,3,50,30,2,13
263,-451727329,3,50,30,3,9
265,-451712187,3,50,40,0,5
267,-451711830,3,50,40,0,13
269,-451711535,3,50,40,1,9
271,-451677890,3,50,40,2,5
273,-451649857,3,50,40,2,13
275,-451625441,3,50,40,3,9
277,-451605424,3,50,50,0,5
279,-451605043,3,50,50,0,13
281,-451604677,3,50,50,1,9
283,-451562584,3,50,50,2,5
285,-451534022,3,50,50,2,13
287,-451510432,3,50,50,3,9
289,-451472117,4,50,0,0,5
291,-451471583,4,50,0,0,13
293,-451471057,4,50,0,1,9
295,-451465723,4,50,0,2,5
297,-451458859,4,50,0,2,13
299,-451450246,4,50,0,3,9
301,-451444875,4,50,10,0,5
303,-451444257,4,50,10,0,13
305,-451443748,4,50,10,1,9
307,-451425757,4,50,10,2,5
309,-451410532,4,50,10,2,13
311,-451385602,4,50,10,3,9
313,-451366845,4,50,20,0,5
315,-451366278,4,50,20,0,13
317,-451365863,4,50,20,1,9
319,-451334503,4,50,20,2,5
321,-451311120,4,50,20,2,13
323,-451252126,4,50,20,3,9
325,-451223766,4,50,30,0,5
327,-451223255,4,50,30,0,13
329,-451222757,4,50,30,1,9
