"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
325,-592323323,4,50,30,0,5
327,-592322702,4,50,30,0,13
329,-592322230,4,50,30,1,9
331,-592274022,4,50,30,2,5
333,-592243962,4,50,30,2,13
335,-592189687,4,50,30,3,9
337,-592147160,4,50,40,0,5
339,-592146635,4,50,40,0,13
341,-592146193,4,50,40,1,9
343,-592077321,4,50,40,2,5
345,-592039868,4,50,40,2,13
347,-591942495,4,50,40,3,9
349,-591889300,4,50,50,0,5
351,-591888814,4,50,50,0,13
353,-591888303,4,50,50,1,9
355,-591824863,4,50,50,2,5
357,-591774364,4,50,50,2,13
359,-591688262,4,50,50,3,9
361,-591578368,5,50,0,0,5
363,-591577430,5,50,0,0,13
365,-591576782,5,50,0,1,9
367,-591565664,5,50,0,2,5
369,-591555667,5,50,0,2,13
371,-591536929,5,50,0,3,9
373,-591526663,5,50,10,0,5
375,-591525960,5,50,10,0,13
377,-591525369,5,50,10,1,9
379,-591502213,5,50,10,2,5
381,-591478678,5,50,10,2,13
383,-591440379,5,50,10,3,9
385,-591409523,5,50,20,0,5
387,-591408325,5,50,20,0,13
389,-591407613,5,50,20,1,9
391,-591347972,5,50,20,2,5
393,-591314931,5,50,20,2,13
395,-591235107,5,50,20,3,9
397,-591172033,5,50,30,0,5
399,-591171131,5,50,30,0,13
401,-591170426,5,50,30,1,9
403,-591069944,5,50,30,2,5
405,-591016282,5,50,30,2,13
407,-590902387,5,50,30,3,9
409,-590810333,5,50,40,0,5
411,-590809465,5,50,40,0,13
413,-590808326,5,50,40,1,9
415,-590669202,5,50,40,2,5
417,-590595103,5,50,40,2,13
419,-590458468,5,50,40,3,9
421,-590317602,5,50,50,0,5
423,-590316590,5,50,50,0,13
425,-590315872,5,50,50,1,9
427,-590239557,5,50,50,2,5
429,-590168142,5,50,50,2,13
431,-589967135,5,50,50,3,9
2,-593846055,0,50,0,0,9
4,-593845754,0,50,0,1,5
6,-593844862,0,50,0,1,13
8,-593844286,0,50,0,2,9
10,-593843418,0,50,0,3,5
12,-593842899,0,50,0,3,13
14,-593842689,0,50,10,0,9
16,-593842599,0,50,10,1,5
18,-593840964,0,50,10,1,13
20,-593839263,0,50,10,2,9
22,-593837481,0,50,10,3,5
24,-593835544,0,50,10,3,13
26,-593832823,0,50,20,0,9
28,-593832764,0,50,20,1,5
30,-593829428,0,50,20,1,13
32,-593826714,0,50,20,2,9
34,-593824287,0,50,20,3,5
36,-593820288,0,50,20,3,13
38,-593817589,0,50,30,0,9
40,-593817516,0,50,30,1,5
42,-593813614,0,50,30,1,13
44,-593809863,0,50,30,2,9
46,-593807504,0,50,30,3,5
48,-593803182,0,50,30,3,13
50,-593798752,0,50,40,0,9
52,-593798674,0,50,40,1,5
54,-593794643,0,50,40,1,13
56,-593788489,0,50,40,2,9
58,-593783182,0,50,40,3,5
60,-593779450,0,50,40,3,13
62,-593772893,0,50,50,0,9
64,-593772804,0,50,50,1,5
66,-593765239,0,50,50,1,13
68,-593759819,0,50,50,2,9
70,-593753289,0,50,50,3,5
72,-593749169,0,50,50,3,13
74,-593741628,1,50,0,0,9
76,-593741238,1,50,0,1,5
78,-593739023,1,50,0,1,13
80,-593736168,1,50,0,2,9
82,-593732199,1,50,0,3,5
84,-593728758,1,50,0,3,13
86,-593726696,1,50,10,0,9
88,-593726455,1,50,10,1,5
90,-593716156,1,50,10,1,13
92,-593707026,1,50,10,2,9
94,-593697020,1,50,10,3,5
96,-593689839,1,50,10,3,13
98,-593680268,1,50,20,0,9
100,-593679787,1,50,20,1,5
102,-593665635,1,50,20,1,13
104,-593649132,1,50,20,2,9
106,-593636948,1,50,20,3,5
108,-593619955,1,50,20,3,13
110,-593606095,1,50,30,0,9
112,-593605858,1,50,30,1,5
114,-593581872,1,50,30,1,13
116,-593570116,1,50,30,2,9
118,-593552318,1,50,30,3,5
120,-593531535,1,50,30,3,13
122,-593503847,1,50,40,0,9
124,-593503629,1,50,40,1,5
126,-593476079,1,50,40,1,13
128,-593448747,1,50,40,2,9
130,-593421686,1,50,40,3,5
132,-593386422,1,50,40,3,13
134,-593364357,1,50,50,0,9
136,-593364082,1,50,50,1,5
138,-593330536,1,50,50,1,13
140,-593296773,1,50,50,2,9
142,-593265806,1,50,50,3,5
144,-593240669,1,50,50,3,13
146,-593195187,2,50,0,0,9
148,-593194847,2,50,0,1,5
150,-593192699,2,50,0,1,13
152,-593190019,2,50,0,2,9
154,-593187659,2,50,0,3,5
156,-593184598,2,50,0,3,13
158,-593182624,2,50,10,0,9
160,-593182302,2,50,10,1,5
162,-593176763,2,50,10,1,13
164,-593171295,2,50,10,2,9
166,-593166399,2,50,10,3,5
168,-593159096,2,50,10,3,13
170,-593152113,2,50,20,0,9
172,-593151849,2,50,20,1,5
174,-593138097,2,50,20,1,13
176,-593127345,2,50,20,2,9
178,-593113028,2,50,20,3,5
180,-593106478,2,50,20,3,13
182,-593098289,2,50,30,0,9
184,-593098039,2,50,30,1,5
186,-593080697,2,50,30,1,13
188,-593071301,2,50,30,2,9
190,-593064274,2,50,30,3,5
192,-593055888,2,50,30,3,13
194,-593047159,2,50,40,0,9
196,-593046963,2,50,40,1,5
198,-593026633,2,50,40,1,13
200,-593017436,2,50,40,2,9
202,-592989420,2,50,40,3,5
