"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-113478675,0,50,0,0,5
3,-113478109,0,50,0,0,13
5,-113477918,0,50,0,1,9
7,-113477100,0,50,0,2,5
9,-113476141,0,50,0,2,13
11,-113475803,0,50,0,3,9
13,-113475079,0,50,10,0,5
15,-113474992,0,50,10,0,13
17,-113474883,0,50,10,1,9
19,-113473522,0,50,10,2,5
21,-113471028,0,50,10,2,13
23,-113469361,0,50,10,3,9
25,-113467150,0,50,20,0,5
27,-113467023,0,50,20,0,13
29,-113466919,0,50,20,1,9
31,-113464982,0,50,20,2,5
33,-113461890,0,50,20,2,13
35,-113458646,0,50,20,3,9
37,-113455950,0,50,30,0,5
39,-113455843,0,50,30,0,13
41,-113455739,0,50,30,1,9
43,-113451997,0,50,30,2,5
45,-113447972,0,50,30,2,13
47,-113443405,0,50,30,3,9
49,-113440641,0,50,40,0,5
51,-113440550,0,50,40,0,13
53,-113440460,0,50,40,1,9
55,-113434380,0,50,40,2,5
57,-113430368,0,50,40,2,13
59,-113425695,0,50,40,3,9
61,-113419733,0,50,50,0,5
63,-113419630,0,50,50,0,13
65,-113419546,0,50,50,1,9
67,-113413650,0,50,50,2,5
69,-113411151,0,50,50,2,13
71,-113404967,0,50,50,3,9
73,-113396751,1,50,0,0,5
75,-113396316,1,50,0,0,13
77,-113396023,1,50,0,1,9
79,-113394368,1,50,0,2,5
81,-113390810,1,50,0,2,13
83,-113386665,1,50,0,3,9
85,-113383895,1,50,10,0,5
87,-113383633,1,50,10,0,13
89,-113383352,1,50,10,1,9
91,-113376093,1,50,10,2,5
93,-113367670,1,50,10,2,13
95,-113356376,1,50,10,3,9
97,-113347878,1,50,20,0,5
99,-113347422,1,50,20,0,13
101,-113347228,1,50,20,1,9
103,-113333400,1,50,20,2,5
105,-113321631,1,50,20,2,13
107,-113308122,1,50,20,3,9
109,-113279409,1,50,30,0,5
111,-113278971,1,50,30,0,13
113,-113278761,1,50,30,1,9
115,-113254362,1,50,30,2,5
117,-113226075,1,50,30,2,13
119,-113200707,1,50,30,3,9
121,-113163863,1,50,40,0,5
123,-113163590,1,50,40,0,13
125,-113163341,1,50,40,1,9
127,-113137395,1,50,40,2,5
129,-113103889,1,50,40,2,13
131,-113069244,1,50,40,3,9
133,-113042357,1,50,50,0,5
135,-113041929,1,50,50,0,13
137,-113041692,1,50,50,1,9
139,-113002552,1,50,50,2,5
141,-112972191,1,50,50,2,13
143,-112941810,1,50,50,3,9
145,-112881343,2,50,0,0,5
147,-112881048,2,50,0,0,13
149,-112880813,2,50,0,1,9
151,-112879121,2,50,0,2,5
153,-112874905,2,50,0,2,13
155,-112872591,2,50,0,3,9
157,-112870989,2,50,10,0,5
159,-112870734,2,50,10,0,13
161,-112870565,2,50,10,1,9
163,-112859958,2,50,10,2,5
165,-112853339,2,50,10,2,13
167,-112845995,2,50,10,3,9
169,-112835805,2,50,20,0,5
171,-112835561,2,50,20,0,13
173,-112835377,2,50,20,1,9
175,-112825610,2,50,20,2,5
177,-112816567,2,50,20,2,13
179,-112806896,2,50,20,3,9
181,-112798586,2,50,30,0,5
183,-112798270,2,50,30,0,13
185,-112798044,2,50,30,1,9
187,-112782207,2,50,30,2,5
189,-112773121,2,50,30,2,13
191,-112758923,2,50,30,3,9
193,-112742620,2,50,40,0,5
195,-112742385,2,50,40,0,13
197,-112742221,2,50,40,1,9
199,-112723606,2,50,40,2,5
201,-112703357,2,50,40,2,13
203,-112685217,2,50,40,3,9
205,-112649989,2,50,50,0,5
207,-112649687,2,50,50,0,13
209,-112649486,2,50,50,1,9
211,-112624542,2,50,50,2,5
213,-112605804,2,50,50,2,13
215,-112586302,2,50,50,3,9
217,-112564244,3,50,0,0,5
219,-112563992,3,50,0,0,13
221,-112563780,3,50,0,1,9
223,-112560480,3,50,0,2,5
225,-112556940,3,50,0,2,13
227,-112552838,3,50,0,3,9
229,-112549032,3,50,10,0,5
231,-112548595,3,50,10,0,13
233,-112548377,3,50,10,1,9
235,-112542201,3,50,10,2,5
237,-112534149,3,50,10,2,13
239,-112527374,3,50,10,3,9
241,-112515700,3,50,20,0,5
243,-112515319,3,50,20,0,13
245,-112515120,3,50,20,1,9
247,-112496096,3,50,20,2,5
249,-112483207,3,50,20,2,13
251,-112464055,3,50,20,3,9
253,-112446576,3,50,30,0,5
255,-112446241,3,50,30,0,13
257,-112445788,3,50,30,1,9
259,-112427079,3,50,30,2,5
261,-112407542,3,50,30,2,13
263,-112388310,3,50,30,3,9
265,-112373392,3,50,40,0,5
267,-112373070,3,50,40,0,13
269,-112372841,3,50,40,1,9
271,-112344163,3,50,40,2,5
273,-112315589,3,50,40,2,13
275,-112290788,3,50,40,3,9
277,-112254332,3,50,50,0,5
279,-112254030,3,50,50,0,13
281,-112253865,3,50,50,1,9
